Platform,Role,Role Group,Job Type,Applicants,Location Type,Published,Location,Location Group,Status,Views,Money Spent,Year Published,Month Published,Year-Month Published
Handshake,Nonprofit Assistant,General Staff,Job,0.0,Onsite or remote,2022-04-15,"Raleigh, North Carolina",North Carolina,Closed,,,2022,4,2022-04
Handshake,Volunteer Staff Member,General Staff,Internship,13.0,Onsite,2022-06-15,"Raleigh, North Carolina +1",North Carolina,Closed,,,2022,6,2022-06
Handshake,Accounting Manager-Volunteer/Internship,Operations/Administration,Volunteer,1.0,Onsite or remote,2022-08-30,"Raleigh, North Carolina",North Carolina,Closed,,,2022,8,2022-08
Handshake,Development Director- Volunteer/Internship,Fundraising,Volunteer,1.0,Onsite or remote,2022-08-30,"Raleigh, North Carolina",North Carolina,Closed,,,2022,8,2022-08
Handshake,Program Manager-Volunteer/Internship,Programs/Project Management,Volunteer,1.0,Onsite or remote,2022-08-30,"Raleigh, North Carolina",North Carolina,Closed,,,2022,8,2022-08
Handshake,Volunteer Coordinator-Volunteer/Internship,Volunteer Management,Volunteer,0.0,Onsite or remote,2022-08-30,"Raleigh, North Carolina",North Carolina,Closed,,,2022,8,2022-08
Handshake,Development Director,Fundraising,Volunteer,1.0,Onsite or remote,2022-09-26,"Garner, North Carolina",North Carolina,Closed,,,2022,9,2022-09
Handshake,Volunteer Manager,Volunteer Management,Volunteer,0.0,Onsite or remote,2022-09-26,"Garner, North Carolina",North Carolina,Closed,,,2022,9,2022-09
Handshake,Nonprofit Board Member,Executive/Leadership,Volunteer,1.0,Onsite or remote,2023-01-16,"Raleigh, North Carolina",North Carolina,Closed,,,2023,1,2023-01
Handshake,Social Media Manager,Social Media/Marketing,Volunteer,9.0,Onsite or remote,2023-03-27,"Garner, North Carolina",North Carolina,Closed,,,2023,3,2023-03
Handshake,Executive Administrative Assistant,Operations/Administration,Internship,4.0,Onsite or remote,2023-06-20,"Raleigh, North Carolina",North Carolina,Closed,,,2023,6,2023-06
Handshake,Fundraising Manager,Fundraising,Volunteer,1.0,Onsite or remote,2023-07-07,"Raleigh, North Carolina",North Carolina,Closed,,,2023,7,2023-07
Handshake,Volunteer Staff/Ambassador Member,General Staff,Volunteer,2.0,Hybrid,2023-12-31,"Raleigh, North Carolina",North Carolina,Closed,,,2023,12,2023-12
Handshake,Seeking Executive Assistant for Nonprofit CEO,Operations/Administration,Internship,13.0,Hybrid or remote,2024-02-11,"Raleigh, North Carolina",North Carolina,Closed,,,2024,2,2024-02
Handshake,Development Director,Fundraising,Volunteer,2.0,Hybrid,2024-02-26,"Raleigh, North Carolina",North Carolina,Closed,,,2024,2,2024-02
Handshake,Fundraiser Strategist,Fundraising,Volunteer,2.0,Hybrid,2024-02-26,"Raleigh, North Carolina",North Carolina,Closed,,,2024,2,2024-02
Handshake,Grant Coordinator,Grant Writing,Volunteer,2.0,Remote,2024-02-26,Within the US,United States,Closed,,,2024,2,2024-02
Handshake,Graphic Designer Manager,Social Media/Marketing,Volunteer,4.0,Remote,2024-02-26,Remote,Remote,Closed,,,2024,2,2024-02
Handshake,Volunteer Nonprofit Manager,Volunteer Management,Internship,5.0,Remote,2024-05-27,Within the US,United States,Closed,,,2024,5,2024-05
Handshake,Webmaster,Technology,Volunteer,0.0,Remote,2025-09-22,Within the US,United States,Closed,,,2025,9,2025-09
Handshake,Fundraising Manager,Fundraising,Volunteer,0.0,Remote,2025-09-23,Within the US,United States,Closed,,,2025,9,2025-09
Handshake,Grant Writer Volunteer,Grant Writing,Volunteer,0.0,Remote,2025-09-23,Within the US,United States,Closed,,,2025,9,2025-09
Handshake,Revenue Development,Fundraising,Volunteer,0.0,Remote,2025-09-23,Within the US,United States,Closed,,,2025,9,2025-09
Handshake,Video Content Creator,Social Media/Marketing,Volunteer,0.0,Remote,2025-09-23,Remote,Remote,Closed,,,2025,9,2025-09
Handshake,Fundraising Team Member,Fundraising,Volunteer,1.0,Hybrid or remote,2025-11-01,"Raleigh, North Carolina",North Carolina,Closed,,,2025,11,2025-11
Handshake,Social Media Manager,Social Media/Marketing,Volunteer,0.0,Onsite,2025-11-01,"Garner, North Carolina",North Carolina,Closed,,,2025,11,2025-11
Handshake,Volunteer Staff/Ambassador Member,General Staff,Volunteer,0.0,Hybrid,2025-11-01,"Raleigh, North Carolina",North Carolina,Closed,,,2025,11,2025-11
Handshake,Executive Assistant,Operations/Administration,Internship,18.0,Remote,2025-11-27,Within the US,United States,Open,,,2025,11,2025-11
Handshake,Volunteer Data Manager,Technology,Volunteer,0.0,Remote,2025-11-27,Within the US,United States,Closed,,,2025,11,2025-11
Handshake,Volunteer Grant Writer Assistant,Grant Writing,Volunteer,0.0,Remote,2025-11-27,Within the US,United States,Closed,,,2025,11,2025-11
Handshake,Volunteer Grant Writer-Business Grants & Social Enterprise Funding,Grant Writing,Volunteer,0.0,Remote,2025-11-27,Within the US,United States,Closed,,,2025,11,2025-11
Handshake,Volunteer Graphic Designer,Social Media/Marketing,Volunteer,0.0,Remote,2025-11-27,Within the US,United States,Closed,,,2025,11,2025-11
Handshake,Volunteer Project Manager,Programs/Project Management,Volunteer,0.0,Remote,2025-11-27,Within the US,United States,Closed,,,2025,11,2025-11
Handshake,Volunteer Revenue Development Manager,Fundraising,Volunteer,0.0,Remote,2025-11-27,Within the US,United States,Closed,,,2025,11,2025-11
Handshake,Volunteer Social Media Manager,Social Media/Marketing,Volunteer,1.0,Remote,2025-11-27,Within the US,United States,Closed,,,2025,11,2025-11
Handshake,Grant Writer Assistant,Grant Writing,Volunteer,29.0,Remote,2026-02-15,Within the US,United States,Open,,,2026,2,2026-02
Handshake,Nonprofit Management Intern,General Staff,Internship,12.0,Onsite or hybrid,2026-02-15,"Cary, North Carolina +13",North Carolina,Closed,,,2026,2,2026-02
